RK	NAME	TEAM	SALARY
1	Stephen Curry, PG	Golden State Warriors	$34,382,550
2	LeBron James, SF	Cleveland Cavaliers	$33,285,709
3	Paul Millsap, PF	Denver Nuggets	$31,269,231
4	Gordon Hayward, SF	Boston Celtics	$29,727,900
5	Blake Griffin, PF	LA Clippers	$29,512,900
6	Kyle Lowry, PG	Toronto Raptors	$28,703,704
7	Mike Conley, PG	Memphis Grizzlies	$28,530,608
8	Russell Westbrook, PG	Oklahoma City Thunder	$28,530,608
9	James Harden, PG	Houston Rockets	$28,299,399
10	DeMar DeRozan, SG	Toronto Raptors	$27,739,975
11	Al Horford, PF	Boston Celtics	$27,734,406
12	Carmelo Anthony, PF	Oklahoma City Thunder	$26,243,760
13	Damian Lillard, PG	Portland Trail Blazers	$26,153,057
14	Jrue Holiday, PG	New Orleans Pelicans	$25,686,667
15	Kevin Durant, SF	Golden State Warriors	$25,000,000
16	Otto Porter Jr., SF	Washington Wizards	$24,773,250
17	Chris Paul, PG	Houston Rockets	$24,599,495
18	CJ McCollum, SG	Portland Trail Blazers	$23,962,573
19	Bradley Beal, SG	Washington Wizards	$23,775,506
20	Anthony Davis, PF	New Orleans Pelicans	$23,775,506
21	Dwight Howard, C	Charlotte Hornets	$23,500,000
22	Chandler Parsons, SF	Memphis Grizzlies	$23,112,004
23	Harrison Barnes, SF	Dallas Mavericks	$23,112,004
24	JJ Redick, SF	Philadelphia 76ers	$23,000,000
25	Brook Lopez, C	Los Angeles Lakers	$22,642,650
26	Marc Gasol, C	Memphis Grizzlies	$22,642,350
27	DeAndre Jordan, C	LA Clippers	$22,642,350
28	Kevin Love, PF	Cleveland Cavaliers	$22,642,350
29	Steven Adams, C	Oklahoma City Thunder	$22,471,910
30	Giannis Antetokounmpo, PF	Milwaukee Bucks	$22,471,910
31	Nicolas Batum, SG	Charlotte Hornets	$22,434,783
32	Rudy Gobert, C	Utah Jazz	$21,924,719
33	LaMarcus Aldridge, PF	San Antonio Spurs	$21,461,010
34	Victor Oladipo, SG	Indiana Pacers	$21,000,000
35	Danilo Gallinari, SF	LA Clippers	$20,559,599
36	Serge Ibaka, PF	Toronto Raptors	$20,061,729
37	George Hill, PG	Sacramento Kings	$20,000,000
38	Ryan Anderson, PF	Houston Rockets	$19,578,455
39	Paul George, SF	Oklahoma City Thunder	$19,508,958
40	Allen Crabbe, SG	Brooklyn Nets	$19,332,500
41	Jimmy Butler, SG	Minnesota Timberwolves	$19,301,070
42	Jeff Teague, PG	Minnesota Timberwolves	$19,000,000
43	Kawhi Leonard, SF	San Antonio Spurs	$18,868,626
44	Kyrie Irving, PG	Boston Celtics	$18,868,626
45	John Wall, PG	Washington Wizards	$18,063,850
46	DeMarcus Cousins, C	New Orleans Pelicans	$18,063,850
47	Greg Monroe, C	Phoenix Suns	$17,884,176
48	Wesley Matthews, SG	Dallas Mavericks	$17,884,176
49	Klay Thompson, SG	Golden State Warriors	$17,826,150
50	Joakim Noah, C	New York Knicks	$17,765,000
51	Kentavious Caldwell-Pope, SG	Los Angeles Lakers	$17,745,894
52	Luol Deng, SF	Los Angeles Lakers	$17,190,000
53	Evan Turner, SG	Portland Trail Blazers	$17,131,148
54	Goran Dragic, PG	Miami Heat	$17,000,450
55	Bismack Biyombo, C	Orlando Magic	$17,000,000
56	Evan Fournier, SF	Orlando Magic	$17,000,000
57	Kent Bazemore, SG	Atlanta Hawks	$16,910,113
58	Robert Covington, SF	Philadelphia 76ers	$16,698,103
59	Ian Mahinmi, C	Washington Wizards	$16,661,641
60	Tim Hardaway Jr., SF	New York Knicks	$16,500,000
61	Draymond Green, PF	Golden State Warriors	$16,400,000
62	Tristan Thompson, C	Cleveland Cavaliers	$16,400,000
63	Pau Gasol, C	San Antonio Spurs	$16,000,000
64	Tobias Harris, SF	Detroit Pistons	$16,000,000
65	Dennis Schroder, PG	Atlanta Hawks	$15,500,000
66	Jonas Valanciunas, C	Toronto Raptors	$15,460,675
67	Tony Parker, PG	San Antonio Spurs	$15,453,126
68	Timofey Mozgov, C	Brooklyn Nets	$15,280,000
69	Thaddeus Young, PF	Indiana Pacers	$14,996,348
70	Andre Iguodala, SF	Golden State Warriors	$14,814,815
71	DeMarre Carroll, SF	Brooklyn Nets	$14,800,000
72	Eric Bledsoe, PG	Phoenix Suns	$14,500,000
73	Ricky Rubio, PG	Utah Jazz	$14,275,000
74	Joe Ingles, SF	Utah Jazz	$14,136,364
75	Gorgui Dieng, C	Minnesota Timberwolves	$14,112,360
76	Khris Middleton, SF	Milwaukee Bucks	$14,100,000
77	Mason Plumlee, C	Denver Nuggets	$14,041,096
78	Taj Gibson, PF	Minnesota Timberwolves	$14,000,000
79	Robin Lopez, C	Chicago Bulls	$13,788,500
80	JR Smith, SG	Cleveland Cavaliers	$13,760,000
81	James Johnson, PF	Miami Heat	$13,734,000
82	Brandon Knight, PG	Phoenix Suns	$13,618,750
83	Marvin Williams, PF	Charlotte Hornets	$13,168,750
84	Michael Kidd-Gilchrist, SF	Charlotte Hornets	$13,000,000
85	Tyson Chandler, C	Phoenix Suns	$13,000,000
86	Eric Gordon, SG	Houston Rockets	$12,943,020
87	Kenneth Faried, PF	Denver Nuggets	$12,921,348
88	Marcin Gortat, C	Washington Wizards	$12,782,609
89	Cody Zeller, C	Charlotte Hornets	$12,584,270
90	Nikola Mirotic, PF	Chicago Bulls	$12,500,000
91	Miles Plumlee, C	Atlanta Hawks	$12,500,000
92	Zach Randolph, PF	Sacramento Kings	$12,307,692
93	Nikola Vucevic, C	Orlando Magic	$12,250,000
94	Solomon Hill, SF	New Orleans Pelicans	$12,236,535
95	Nikola Pekovic, C	Minnesota Timberwolves	$12,100,000
96	Wilson Chandler, SF	Denver Nuggets	$12,016,854
97	Kemba Walker, PG	Charlotte Hornets	$12,000,000
98	Derrick Favors, PF	Utah Jazz	$12,000,000
99	Jeremy Lin, PG	Brooklyn Nets	$12,000,000
100	Austin Rivers, PG	LA Clippers	$11,825,000
101	Courtney Lee, SG	New York Knicks	$11,747,890
102	Jordan Clarkson, PG	Los Angeles Lakers	$11,562,500
103	John Henson, PF	Milwaukee Bucks	$11,422,536
104	Monta Ellis, SG	Indiana Pacers	$11,227,000
105	Amir Johnson, PF	Philadelphia 76ers	$11,000,000
106	Dion Waiters, SG	Miami Heat	$11,000,000
107	Alec Burks, SG	Utah Jazz	$10,845,506
108	Patty Mills, PG	San Antonio Spurs	$10,714,286
109	Kelly Olynyk, C	Miami Heat	$10,607,169
110	Omer Asik, C	New Orleans Pelicans	$10,595,505
111	Joe Johnson, SG	Utah Jazz	$10,505,000
112	Terrence Ross, SG	Orlando Magic	$10,500,000
113	Mirza Teletovic, PF	Milwaukee Bucks	$10,500,000
114	Bojan Bogdanovic, SF	Indiana Pacers	$10,500,000
115	Jon Leuer, PF	Detroit Pistons	$10,497,319
116	Iman Shumpert, SG	Cleveland Cavaliers	$10,337,079
117	Maurice Harkless, SF	Portland Trail Blazers	$10,162,922
118	Danny Green, SG	San Antonio Spurs	$10,000,000
119	Jared Dudley, SF	Phoenix Suns	$10,000,000
120	Darren Collison, PG	Indiana Pacers	$10,000,000
121	Meyers Leonard, C	Portland Trail Blazers	$9,904,495
122	Tony Snell, SG	Milwaukee Bucks	$9,887,640
123	Al Jefferson, C	Indiana Pacers	$9,769,821
124	Matthew Dellavedova, PG	Milwaukee Bucks	$9,607,500
125	Bogdan Bogdanovic, SG	Sacramento Kings	$9,412,280
126	Andre Roberson, SG	Oklahoma City Thunder	$9,259,260
127	Trevor Booker, PF	Brooklyn Nets	$9,125,000
128	Dwight Powell, PF	Dallas Mavericks	$9,003,125
129	Gerald Henderson, SG	Philadelphia 76ers	$9,000,000
130	Jerryd Bayless, PG	Philadelphia 76ers	$9,000,000
131	Avery Bradley, SG	Detroit Pistons	$8,808,989
132	JaMychal Green, PF	Memphis Grizzlies	$8,533,333
133	E'Twaun Moore, SG	New Orleans Pelicans	$8,445,024
134	Rudy Gay, SF	San Antonio Spurs	$8,406,000
135	Kosta Koufos, C	Sacramento Kings	$8,393,000
136	Markieff Morris, PF	Washington Wizards	$8,000,000
137	Garrett Temple, SG	Sacramento Kings	$8,000,000
138	Vince Carter, SG	Sacramento Kings	$8,000,000
139	Yi Jianlian, SF	Los Angeles Lakers	$8,000,000
140	CJ Miles, SF	Toronto Raptors	$7,936,509
141	Cristiano Felicio, C	Chicago Bulls	$7,833,500
142	Shaun Livingston, PG	Golden State Warriors	$7,692,308
143	Cory Joseph, PG	Indiana Pacers	$7,630,000
144	PJ Tucker, SF	Houston Rockets	$7,590,035
145	Corey Brewer, SF	Los Angeles Lakers	$7,579,366
146	Andrew Wiggins, SF	Minnesota Timberwolves	$7,574,323
147	Boris Diaw, C	Utah Jazz	$7,500,000
148	Darrell Arthur, PF	Denver Nuggets	$7,464,912
149	Trevor Ariza, SF	Houston Rockets	$7,420,912
150	Channing Frye, PF	Cleveland Cavaliers	$7,420,912
151	Festus Ezeli, C	Portland Trail Blazers	$7,400,000
152	Al-Farouq Aminu, PF	Portland Trail Blazers	$7,319,035
153	Cole Aldrich, C	Minnesota Timberwolves	$7,300,000
154	D.J. Augustin, PG	Orlando Magic	$7,250,000
155	Markelle Fultz, PG	Philadelphia 76ers	$7,026,240
156	Jeremy Lamb, SG	Charlotte Hornets	$7,000,000
157	Lou Williams, SG	LA Clippers	$7,000,000
158	Rodney Stuckey, PG	Indiana Pacers	$7,000,000
159	Kyle Korver, SG	Cleveland Cavaliers	$7,000,000
160	Jae Crowder, PF	Cleveland Cavaliers	$6,796,117
